Etapa,Base,Campo,Tipo,Problema,Linhas_afetadas,Decisao,Por_que,Alternativa_descartada
1. Padronizar tipos e datas,Todas,colunas de data,Tratamento,Três formatos diferentes de data nas cinco bases,0,Converter tudo para datetime,"texto não se compara como data: ""04/04/1984"" > ""28/12/2006"" dá True se comparado como letra",Comparar como texto — funcionaria por acidente em uma base e quebraria em silêncio na outra
1. Padronizar tipos e datas,Todas,Sim/Não e 0/1,Tratamento,Booleanos guardados como texto e como número,0,Converter para True/False,"a palavra ""Não"" é considerada verdadeira pelo Python — é uma armadilha silenciosa","Comparar com == ""Sim"" em cada uso: quebra com um acento ou espaço a mais"
2. Preencher o que não é buraco (vazio que significa algo),Transações,Qtd_Parcelas,Tratamento,Vazio em 72% das linhas,113252,Preencher com 1 e criar a coluna `parcelado`,"vazio quer dizer compra à vista — e o número 1 não existe em lugar nenhum da coluna, o que confirma a leitura","Preencher com a média (6,5): inventaria 113 mil parcelamentos que nunca aconteceram"
2. Preencher o que não é buraco (vazio que significa algo),Transações,Wallet,Tratamento,Vazio em 86% das linhas,134716,"Preencher com ""Sem wallet"" e criar `usou_wallet`","vazio significa que a compra não passou por carteira digital — é resposta, não ausência","Descartar a coluna por excesso de vazio: perderia a métrica de adoção digital, que o desafio pede"
2. Preencher o que não é buraco (vazio que significa algo),Cartões,Data_Ativacao,Tratamento,"Valor sentinela 1900-01-01 usado como ""nunca ativado""",450,Trocar por vazio real e criar a flag `ativado`,"a data de 1900 é um código para ""não aconteceu""; mantê-la faria a média de dias até a ativação passar de 45 mil dias","Excluir os 450 cartões: são 11,2% do portfólio que nunca foi usado — é o achado, não o lixo"
2. Preencher o que não é buraco (vazio que significa algo),Investimentos,Data_de_vencimento,Tratamento,Valor sentinela 299901 (ano 2999),7864,Trocar por vazio e criar a flag `produto_perpetuo`,"é o código para ""sem vencimento"" — e 100% dessas linhas são Reservinha, o produto de liquidez diária",Manter o ano 2999: qualquer gráfico de vencimento ficaria ilegível
2. Preencher o que não é buraco (vazio que significa algo),Investimentos,Valor_Aplicado / Saldo_Atual,Tratamento,Ambos vazios na mesma linha,14,"Marcar como tipo_evento=""Vencimento"", zerar os valores e manter a linha","nas 14 linhas a data da operação é igual à data de vencimento: é uma marcação de vencimento, não uma operação sem valor",Apagar as 14 linhas: perderia o registro do momento em que o produto vence — que é quando o cliente decide sacar
2. Preencher o que não é buraco (vazio que significa algo),Clientes,Renda_Anual,Tratamento,Vazio em 13% dos clientes,255,NÃO preencher. Criar a flag `cadastro_incompleto` e manter o vazio,"o vazio é o achado: esses clientes transacionam normalmente mas só 5,5% investem, contra 58% dos demais — o campo em branco parece bloquear a oferta",Imputar pela mediana ou por modelo: deixaria a base bonita e apagaria o insight de maior retorno do trabalho
3. Marcar o que não tem salvação,Transações,Crossborder,Documentação,"Vazio em 95,6%; nos preenchidos, divisão 50/50",149912,Declarar inutilizável e não usar em nenhuma análise,metade e metade é o resultado de jogar uma moeda — não há informação para extrair,Preencher com 0: criaria uma taxa de transação internacional falsa e não auditável
3. Marcar o que não tem salvação,Transações,Contactless,Documentação,"Vazio em 82,5%; nos preenchidos, divisão 50/50",129332,Declarar inutilizável e não usar em nenhuma análise,mesmo caso do Crossborder — e é justamente a coluna que mediria maturidade digital,"Preencher com 0: inventaria uma taxa de contactless de 8,8% que iria parar no slide"
3. Marcar o que não tem salvação,PIX,Valor,Flag,Valores negativos de até −R$ 585.848,917,"Marcar com `flag_valor_impossivel`; a linha fica, o valor sai das somas","não são estornos: 695 dos 917 são maiores que o maior PIX positivo da base inteira (R$ 6.780) — é corrupção, e somam −R$ 41 milhões",Usar o valor absoluto (inventaria R$ 41 mi de movimentação) ou winsorizar (esconderia o problema)
3. Marcar o que não tem salvação,PIX,Data,Flag,Linhas sem data da transação,418,Marcar com `flag_sem_data`,"sem data a linha não entra em análise temporal, mas ainda conta para o total de PIX do cliente","Juntar com as linhas sem tipo numa flag só: a interseção entre os dois grupos é ZERO, então seriam dois problemas diferentes tratados como um"
3. Marcar o que não tem salvação,PIX,Tipo_transacao,Flag,Linhas sem indicação de envio ou recebimento,418,Marcar com `flag_sem_tipo`,"sem saber se é envio ou recebimento a linha não entra no cálculo de fluxo, mas a data está lá e ela ainda conta no volume do mês",Assumir que são envios (88% da base é envio): inventaria direção de dinheiro em 418 transações
3. Marcar o que não tem salvação,Transações,Valor_Compra,Coluna nova,Valores negativos misturados com as compras,165,Criar `tipo_evento` (Compra/Estorno) e preservar o sinal negativo,"aqui o negativo é legítimo — são estornos autorizados, um evento real; o erro era não conseguir separá-los",Excluir os estornos: a receita ficaria superestimada em R$ 132 mil de compras devolvidas
4. Criar as colunas que faltam,Cartões,Cliente_ID,Coluna nova,A base não tem a coluna: impossível saber de quem é o cartão,469,Reconstruir via base de transações e marcar os 469 que sobram com `flag_sem_dono`,"é a única ponte disponível, e é segura: nenhum cartão aparece com dois clientes diferentes","Deduzir o dono por proximidade de datas: seria chute com aparência de método, numa coluna de chave"
4. Criar as colunas que faltam,PIX,chave primária,Coluna nova,A base não tem nenhuma coluna identificadora,278940,Criar `id_pix` sequencial,"sem identificador não há como auditar uma linha, rastrear uma reclamação ou juntar com outra tabela",Concatenar cliente+data+valor: funcionaria hoje e quebraria no primeiro empate
4. Criar as colunas que faltam,Investimentos,Saldo_Atual,Coluna nova,"É o saldo ANTES da operação, não depois — o dicionário não diz isso",21200,Criar `saldo_fechamento` = Saldo_Atual + Valor_Aplicado,"73,3% das primeiras operações têm saldo zero e 432 resgates sacam exatamente o saldo exibido, sem nenhum sacar mais — só faz sentido se o saldo for o de abertura",Confiar no dicionário de dados: a descrição é ambígua e os dados discordam dela
4. Criar as colunas que faltam,Clientes,idade / meses_de_casa,Coluna nova,"A base traz data de nascimento e de abertura, mas não a idade nem o tempo de relacionamento",1960,Calcular ambas com data de corte fixa em 31/12/2025,data de corte fixa garante que rodar o script amanhã dá o mesmo resultado de hoje — análise tem que ser reprodutível,Usar a data de hoje: o número mudaria a cada execução e ninguém conseguiria reproduzir o relatório
5. Flags de consistência (o que é logicamente impossível),PIX,Data vs abertura da conta,Flag,PIX registrado antes de o cliente existir no banco,69427,Marcar com `flag_antes_da_conta` — sem corrigir nada,"atinge 1.121 dos 1.430 clientes, com 292 dias de antecedência mediana; não dá para saber qual das duas datas está errada",Corrigir empurrando a data do PIX para a frente: seria escolher no chute qual sistema mentiu
5. Flags de consistência (o que é logicamente impossível),Transações,Data vs Data_Validade,Flag,Compra feita com cartão já vencido,2700,Marcar com `flag_cartao_vencido`,"no mundo real o terminal recusa; se está na base como autorizada, uma das duas datas está errada","Excluir as transações: 1,7% da base sairia sem que se saiba qual data é a culpada"
5. Flags de consistência (o que é logicamente impossível),Transações,Data vs Data_Ativacao,Flag,Compra registrada antes de o cartão ser ativado,2131,Marcar com `flag_antes_ativacao`,"a data de emissão nunca é violada (zero casos), o que isola a Data_Ativacao como campo suspeito",Ajustar a data de ativação para a primeira compra: apagaria a evidência de que o campo é pouco confiável
5. Flags de consistência (o que é logicamente impossível),Transações,Qtd_Parcelas vs Tipo_Cartao,Flag,Compra parcelada em cartão de débito,6852,Marcar com `flag_debito_parcelado`,"débito debita na hora, parcelamento não existe nesse produto — são 26% de todas as compras em débito",Zerar as parcelas nesses casos: mascararia uma inconsistência que atinge um quarto do débito
5. Flags de consistência (o que é logicamente impossível),Transações,Valor_Compra vs Limite_Cartao,Flag,Compra acima do limite do cartão (só crédito),35,"Marcar com `flag_acima_do_limite`, excluindo débito da checagem","a checagem ingênua acusava 26.166 casos, mas quase todos eram débito com limite zero — que está correto, porque débito usa saldo e não limite","Manter a checagem ingênua: viraria um slide dizendo ""17% das compras estouram o limite"", o que é falso"
5. Flags de consistência (o que é logicamente impossível),Investimentos,Data_de_vencimento vs Data,Flag,Operação com data de vencimento anterior à própria operação,188,Marcar com `flag_vencimento_passado`,"não dá para aplicar dinheiro em um produto que já venceu — mas são 0,9% das linhas e nenhuma métrica do estudo depende delas",Excluir: impacto próximo de zero e a regra de não apagar continua valendo
5. Flags de consistência (o que é logicamente impossível),Clientes,atividade,Flag,Cliente sem nenhuma movimentação em 3 anos,85,Marcar com `flag_sem_atividade`,"não é erro de dado, é um segmento: 4,3% da base cadastrada nunca usou nada","Tratar como cadastro inválido e remover: são clientes reais, só inativos"
6. Normalizar a escala do PIX,PIX,Valor,Tratamento,"A partir de 2025-08 todos os valores ficam ~4,13x maiores (troca de escala)",63707,Criar `Valor_norm` dividindo por 4.1286 de 2025-08 em diante; manter a coluna original,"passou no teste de escala pura: razão constante entre 4,02 e 4,20 em toda a distribuição e forma preservada (CV 1,108 → 1,107)","Normalizar também as transações (reprovaram no teste: razão de 1,25 a 3,72) ou substituir a coluna original (impediria auditar a premissa)"
6. Normalizar a escala do PIX,Transações,Valor_Compra,Documentação,Em 2024 os valores seguem outra distribuição,0,NÃO normalizar. Valores de cartão seguem incomparáveis entre 2023/2025 e 2024,"a razão entre os regimes vai de 1,25 nas compras pequenas a 3,72 nas grandes — não houve multiplicação, mudou a distribuição inteira",Dividir 2024 por um fator médio: as compras pequenas ficariam subestimadas e as grandes superestimadas
6. Normalizar a escala do PIX,Transações,Valor_Compra,Documentação,Em 2023 e 2025 os valores seguem uma distribuição uniforme entre R$ 0 e R$ 1.200,0,Documentar: o valor da compra NÃO deve ser usado como variável analítica,"os quantis caem em cima da diagonal teórica (p25 R$ 305 vs R$ 300; p50 R$ 603 vs R$ 600) e só 0,09% passa de R$ 1.200 — consumo real nunca tem esse formato, o campo parece sorteado","Usar ticket médio e ""cliente de alto valor"" nas análises: seriam métricas sobre um número aleatório"
6. Normalizar a escala do PIX,Clientes,Cidade / Estado,Documentação,As duas colunas são equivalentes: uma cidade por estado,1960,Manter as duas e documentar a redundância,"são 6 cidades em 6 estados, relação um para um — a segunda coluna não acrescenta informação nenhuma",Remover uma delas: economizaria espaço e criaria atrito com quem espera a coluna no arquivo
6. Normalizar a escala do PIX,Transações,Input_Mode / Input_Mode_Code,Documentação,As duas colunas são equivalentes,156826,Manter as duas e documentar a redundância,cada código corresponde sempre ao mesmo modo de entrada — é a mesma informação em dois formatos,Remover o código numérico: é o formato que os sistemas Mastercard usam de verdade
