ID_Transacao,Data,Valor_Compra,Industria,Tipo_Compra,Qtd_Parcelas,Wallet,Cliente_ID,ID_Cartao,Input_Mode,Input_Mode_Code,Crossborder,Contactless,Autorizado
1,2023-09-26 03:27:30,51.96,Varejo,CP,12.0,,9280,55086184,Swiped,59,,,Sim
2,2025-07-05 10:22:16,408.44,Alimentação,CP,,,2305,61292792,Chip,54,,,Sim
3,2025-10-30 16:33:45,556.82,Alimentação,CP,,,5439,58892511,PayPass,51,,,Sim
4,2025-11-05 00:17:05,510.46,Tecnologia,CP,,,9682,99255972,Chip,54,,1.0,Sim
5,2025-02-27 17:52:00,698.35,Tecnologia,CP,12.0,Apple Pay,4928,96313857,PayPass,51,,0.0,Sim
6,2023-09-26 03:04:43,129.23,Varejo,CP,,,9904,55129439,Chip,54,,,Sim
7,2025-01-26 09:51:34,1162.53,Alimentação,CP,,,5107,55526914,Swiped,59,,,Sim
8,2023-10-07 06:15:11,758.78,Varejo,CNP,,,5995,80929712,Phone Order,35,,,Sim
9,2023-12-07 00:09:11,899.74,Varejo,CP,,Apple Pay,6655,44320574,Swiped,59,,,Sim
10,2025-02-26 13:49:19,472.86,Educação,CNP,,,4291,84224141,Recurring,36,,,Sim
11,2023-12-23 14:09:17,54.79,Alimentação,CP,7.0,,7141,13669529,Swiped,59,,0.0,Sim
12,2025-04-12 16:15:02,149.14,Varejo,CNP,,,8807,80673046,MasterPass,39,,,Sim
13,2023-03-29 05:31:02,1059.66,Educação,CP,,,2820,10848728,PayPass,51,,,Sim
14,2023-04-16 21:48:44,126.08,Educação,CNP,,,8828,97184416,Mail Order,32,,,Sim
15,2023-11-16 01:46:49,279.61,Saúde,CNP,,,6808,26812306,MasterPass,39,,,Sim
16,2025-08-11 09:51:38,298.95,Entretenimento,CP,6.0,Apple Pay,1350,62809263,Swiped,59,,,Sim
17,2025-03-06 02:22:50,794.59,Alimentação,CNP,,,4716,56491773,Recurring,36,,,Sim
